epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7438,6.26972,39.737,3.80265,0,0,0,0,6.99117,36.5106,4.15947,0.00024,0.00024,0.00024
2,41.5136,6.9703,37.2283,4.13898,0,0,0,0,6.98907,34.8004,4.15064,0.00049835,0.00049835,0.00049835
3,51.3626,6.2903,9.68488,3.68222,0,0,0,0,6.98403,32.4528,4.13268,0.000754984,0.000754984,0.000754984
4,60.3084,4.4943,2.83885,3.16576,0,0,0,0,6.98019,31.0165,4.13871,0.0010099,0.0010099,0.0010099
5,68.9363,4.08784,2.2396,2.9098,0,0,0,0,6.98427,11.9445,4.19953,0.0012631,0.0012631,0.0012631
6,78.2651,3.73371,1.84353,2.59672,0,0,0,0,6.99269,12.1899,4.20483,0.00151459,0.00151459,0.00151459
7,87.3039,3.31472,1.62907,2.42306,0,0,0,0,7.00576,24.9926,4.11366,0.00176436,0.00176436,0.00176436
8,96.3069,3.29762,1.5993,2.3385,0.00596,0.2,0.03557,0.01471,4.12867,3.23782,2.4846,0.0019538,0.0019538,0.0019538
9,105.108,3.08789,1.56521,2.31898,0.18709,0.37647,0.18449,0.05776,2.78579,2.16622,2.24492,0.0019472,0.0019472,0.0019472
10,113.953,3.00735,1.52325,2.27997,0.25819,0.54118,0.31756,0.0904,2.82603,1.60883,2.25584,0.0019406,0.0019406,0.0019406
11,121.916,3.03719,1.49862,2.29216,0.3455,0.65294,0.3919,0.11232,2.68702,1.51602,2.25027,0.001934,0.001934,0.001934
12,130.248,2.91113,1.47783,2.2221,0.3592,0.56471,0.4174,0.12107,2.75652,1.42266,2.24121,0.0019274,0.0019274,0.0019274
13,138.427,2.88806,1.42108,2.21149,0.36492,0.54118,0.36938,0.11624,2.85096,1.43867,2.27641,0.0019208,0.0019208,0.0019208
14,147.003,3.01431,1.39575,2.26475,0.51577,0.68922,0.59775,0.18473,2.60101,1.32302,2.20261,0.0019142,0.0019142,0.0019142
15,156.155,2.93725,1.40202,2.21512,0.50904,0.68824,0.58532,0.18142,2.66646,1.38206,2.18848,0.0019076,0.0019076,0.0019076
16,165.957,2.84565,1.44771,2.18692,0.5266,0.6609,0.5936,0.21571,2.46461,1.26507,2.17744,0.001901,0.001901,0.001901
